class,id,x,y,value
41,263,546,415,-0.3612
55,264,496,303,0
159,265,78,298,0
22,266,586,386,0
10,267,688,284,0.3164
48,268,99,186,-0.25
55,269,496,303,-0.1531
12,270,583,511,0
10,271,688,284,0.3164
119,272,447,224,0
55,273,496,303,0
0,274,654,320,0.4404
0,275,654,318,0
23,276,523,463,0.296
0,277,678,293,0.7513
23,278,523,463,0.396
8,279,547,289,0.5562
17,280,159,413,0
12,281,584,509,0.2732
0,282,654,318,-0.296
20,283,283,446,0.7177
21,284,654,318,-0.636
82,285,420,427,-0.9281
0,286,653,317,0
30,287,582,523,-0.3412
22,288,600,390,0
22,289,600,390,0
12,290,582,523,0
42,291,590,276,0.5255
69,292,176,261,0.0258
22,293,600,390,0
23,294,523,463,0.296
10,295,692,289,0.1779
4,296,609,351,0.6542
55,297,496,306,0
55,298,496,306,0
41,299,547,420,0
86,300,574,400,0
69,301,176,261,0.0258
7,302,556,369,-0.5499
38,303,466,350,0
87,304,440,290,0.4753
5,305,533,342,0
40,306,134,375,0.1531
4,307,580,332,0.3818
4,308,580,332,0.3818
9,309,634,351,0
119,310,436,253,-0.7073
17,311,146,418,0
150,312,190,450,-0.7695
23,313,523,463,0.296
17,314,154,416,0.5859
128,315,78,298,0.3382
17,316,149,413,0.3818
31,317,190,450,0.7695
62,318,304,335,0
9,319,616,344,-0.25
14,320,390,275,0.25
4,321,570,313,0.4168
0,322,653,317,0.2057
85,323,581,504,-0.7845
62,324,303,347,-0.3595
56,325,534,419,-0.8689
159,326,78,298,0
42,327,599,285,-0.2023
0,328,652,321,0.6239
0,329,678,293,0.6696
0,330,659,318,-0.4854
236,331,534,227,-0.089
21,332,653,317,-0.8126
3,333,556,369,0.5719
26,334,455,372,0.6249
26,335,455,372,0.6249
71,336,688,284,-0.521
156,337,691,276,-0.8553
4,338,568,306,0
0,339,663,294,0.3182
110,340,283,521,-0.5859
110,341,283,521,-0.5859
7,342,556,369,-0.4215
63,343,590,276,-0.3182
42,344,593,270,0.0258
95,345,434,251,-0.0258
28,346,393,433,0.4404
17,347,146,418,0.0772
25,348,132,338,0
10,349,692,289,0
28,350,393,433,0
12,351,571,486,0
126,352,195,408,-0.4767
80,353,565,307,-0.5023
80,354,565,307,-0.5023
62,355,303,347,0
83,356,118,345,-0.4019
0,357,653,317,-0.1877
0,358,653,317,0.3612
55,359,496,303,-0.4824
55,360,496,303,-0.3182
28,361,420,427,0.5093
17,362,152,412,0
2,363,222,318,0.6696
5,364,531,352,0
5,365,531,352,0
65,366,80,434,0
65,367,80,434,0
29,368,548,440,0.4019
12,369,563,494,0
21,370,655,317,-0.5216
0,371,652,316,-0.4508
9,372,614,343,0
36,373,624,340,-0.4015
4,374,589,321,-0.128
4,375,589,321,-0.128
69,376,176,261,0.6808
0,377,669,302,0.2732
65,378,80,434,0.4939
65,379,80,434,0.4939
65,380,80,434,-0.296
65,381,80,434,-0.296
12,382,556,496,0
21,383,655,316,-0.6486
56,384,537,415,-0.8481
0,385,652,321,-0.4767
4,386,580,332,0
4,387,580,332,0
28,388,387,433,0
25,389,103,362,0
27,390,426,482,0.2247
19,391,494,361,0.2443
19,392,494,361,0.2443
56,393,535,419,-0.4215
50,394,459,463,-0.2144
7,395,574,400,0.7279
41,396,534,419,-0.2023
0,397,646,337,0
22,398,586,386,0.0382
12,399,556,495,0.6369
78,400,95,258,0
0,401,646,337,0
4,402,616,344,0.6369
0,403,646,337,0
0,404,646,337,0
10,405,671,287,0
4,406,580,332,0.8494
4,407,580,332,0.8494
0,408,646,337,0
36,409,617,347,-0.5267
0,410,646,337,0
5,411,533,342,0.4404
30,412,583,523,-0.5106
94,413,574,400,-0.6486
9,414,620,343,0.1501
56,415,537,415,-0.6381
131,416,95,258,-0.8932
0,417,654,318,0
7,418,556,369,-0.7783
11,419,406,474,0.765
36,420,624,340,-0.5423
12,421,584,516,0
19,422,494,361,0.4753
19,423,494,361,0.4753
4,424,570,313,-0.5256
12,425,563,480,0
12,426,556,495,0
0,427,654,320,0
0,428,644,322,-0.1695
21,429,654,318,-0.7579
17,430,149,413,-0.3182
23,431,523,463,0.4404
18,432,474,427,0
28,433,387,433,0
4,434,580,332,0
4,435,580,332,0
0,436,655,320,0
69,437,176,261,0
12,438,556,495,0
53,439,184,384,-0.3612
7,440,537,417,0.5859
27,441,426,482,0.0772
23,442,523,463,0.3412
25,443,107,367,0.4019
0,444,655,320,-0.4215
0,445,655,317,0.5538
0,446,675,309,0
102,447,386,393,0
7,448,571,390,0.3612
38,449,475,333,0
10,450,688,284,0
49,451,474,262,0.5093
12,452,556,495,0
19,453,517,331,0
3,454,556,369,0.296
48,455,106,207,0
12,456,556,495,0
12,457,557,493,0
3,458,556,369,0.4019
48,459,106,207,0
39,460,80,434,0.6808
39,461,80,434,0.6808
17,462,146,418,0
12,463,556,495,0
0,464,655,320,-0.4588
3,465,556,369,0.7958
41,466,537,417,0
69,467,176,261,0
12,468,556,495,0
23,469,523,463,0
55,470,496,303,0
12,471,556,495,0
41,472,537,417,0
10,473,688,284,0.4019
27,474,406,474,0
126,475,184,386,-0.8625
27,476,406,474,0
78,477,103,243,0
48,478,105,205,0
78,479,99,244,-0.0772
110,480,283,521,-0.508
110,481,283,521,-0.508
3,482,556,369,0.5574
55,483,492,306,-0.8516
55,484,492,306,-0.8516
70,485,455,372,0
70,486,455,372,0
12,487,556,496,0
48,488,110,210,0
4,489,610,317,0
11,490,382,466,0
4,491,580,332,-0.7369
4,492,580,332,-0.7369
65,493,80,434,-0.296
65,494,80,434,-0.296
11,495,382,466,-0.1027
12,496,556,495,0
16,497,283,521,0.5255
16,498,283,521,0.5255
9,499,614,365,0
0,500,647,338,0.2144
63,501,590,276,0
58,502,430,298,0.4215
55,503,496,303,-0.6369
64,504,110,210,-0.5267
17,505,151,417,0
17,506,153,419,-0.3182
10,507,688,284,0
42,508,598,273,0
58,509,395,318,-0.3182
48,510,110,210,0
111,511,556,488,-0.5759
17,512,162,434,0.6249
12,513,569,488,-0.4767
23,514,523,463,0
11,515,382,466,0
4,516,580,332,-0.1761
4,517,580,332,-0.1761
11,518,382,466,0
10,519,688,284,-0.0928
9,520,619,346,0
11,521,382,466,-0.0572
9,522,614,365,0
29,523,548,440,0
83,524,107,363,-0.4939
113,525,500,426,-0.7034
4,526,576,310,0
10,527,688,297,0.7378
0,528,645,316,0
48,529,92,194,0
12,530,581,504,-0.5562
11,531,382,466,0
11,532,382,466,0
55,533,496,303,0
11,534,382,466,0
18,535,471,463,0.2103
64,536,110,210,-0.6249
0,537,654,318,-0.2263
63,538,590,276,-0.2732
0,539,654,318,0.5499
25,540,115,359,0
35,541,477,379,0
10,542,688,297,0.5093
68,543,420,427,0
11,544,382,466,0
65,545,80,434,0
65,546,80,434,0
48,547,106,207,0
113,548,500,426,-0.7034
21,549,637,346,0
71,550,688,284,-0.6808
153,551,386,393,-0.636
5,552,531,352,-0.3724
5,553,531,352,-0.3724
93,554,589,321,-0.836
93,555,589,321,-0.836
10,556,688,284,0
29,557,531,423,0.3612
11,558,382,466,0
4,559,609,337,0
0,560,678,293,0.727
51,561,550,290,0.2571
11,562,382,466,0
7,563,544,378,0
110,564,283,521,-0.69
110,565,283,521,-0.69
11,566,382,466,0
48,567,106,207,-0.2732
64,568,103,210,-0.4767
7,569,537,417,0.6369
53,570,204,371,0.7345
90,571,492,461,-0.8126
10,572,678,293,-0.6351
0,573,653,316,0
80,574,549,294,0
48,575,106,207,-0.2732
25,576,104,361,0
10,577,678,293,-0.7955
0,578,640,330,0
107,579,191,433,0.1007
64,580,101,239,0.25
4,581,587,308,0.4019
0,582,651,312,0
17,583,131,400,0
17,584,131,400,0
0,585,654,318,-0.2942
5,586,518,341,0
77,587,471,400,0
85,588,581,504,-0.7177
48,589,106,207,0
25,590,115,359,-0.3382
10,591,656,243,0.659
116,592,176,261,-0.6597
4,593,580,332,0.5423
4,594,580,332,0.5423
106,595,353,450,0
16,596,283,521,-0.3802
16,597,283,521,-0.3802
17,598,146,418,0
95,599,434,250,0
80,600,550,290,-0.6155
35,601,471,400,0.6696
21,602,625,336,0
11,603,382,466,0
5,604,531,352,0
5,605,531,352,0
17,606,131,400,0
17,607,131,400,0
27,608,406,474,0.3595
48,609,106,207,0
11,610,382,466,0
48,611,106,207,0
9,612,619,341,0
11,613,382,466,0.0772
55,614,496,303,0.5994
65,615,80,434,0
65,616,80,434,0
4,617,584,321,0.9169
5,618,521,354,0
0,619,655,316,0.2732
0,620,659,313,-0.2914
124,621,364,501,-0.4926
19,622,494,361,0.1984
19,623,494,361,0.1984
64,624,106,207,-0.7456
56,625,537,417,-0.5267
102,626,384,396,0
0,627,661,318,0.5423
6,628,223,421,0
0,629,661,318,0.3182
40,630,184,386,0.6705
