class,id,x,y,value
4,202,523.0,463.0,0.0
6,203,616.0,345.0,-0.4898
5,204,539.0,371.0,-0.5696
4,205,283.0,521.0,-0.1189
4,206,283.0,521.0,-0.1189
4,207,146.0,418.0,0.2732
9,208,688.0,284.0,-0.6369
4,209,219.0,423.0,0.0
4,210,259.0,341.0,0.0
10,211,116.0,348.0,-0.5709
4,212,617.0,345.0,0.0
0,213,523.0,463.0,0.296
5,214,500.0,305.0,-0.6096
53,215,99.0,186.0,-0.7783
7,216,80.0,434.0,0.0
7,217,80.0,434.0,0.0
0,218,564.0,513.0,0.765
5,219,683.0,284.0,0.0
0,220,406.0,471.0,0.4019
4,221,283.0,521.0,0.0
4,222,283.0,521.0,0.0
2,223,654.0,320.0,0.0
4,224,379.0,479.0,0.0
2,225,654.0,320.0,0.0
8,226,492.0,298.0,-0.8617
4,227,548.0,440.0,0.0
4,228,580.0,332.0,0.2023
4,229,580.0,332.0,0.2023
4,230,413.0,474.0,0.0
20,231,95.0,267.0,-0.5859
0,232,407.0,386.0,0.2373
5,233,496.0,303.0,-0.6914
2,234,580.0,332.0,0.4466
2,235,580.0,332.0,0.4466
4,236,547.0,420.0,-0.2714
4,237,490.0,466.0,0.0
2,238,650.0,323.0,0.0
13,239,581.0,504.0,-0.5972
5,240,520.0,356.0,-0.3818
2,241,624.0,348.0,0.4767
0,242,496.0,303.0,0.4588
9,243,688.0,284.0,-0.8353
4,244,469.0,350.0,-0.4019
9,245,689.0,290.0,-0.4404
7,246,80.0,434.0,0.0314
7,247,80.0,434.0,0.0314
39,248,459.0,463.0,-0.7271
4,249,574.0,400.0,0.0
5,250,469.0,350.0,-0.6428
4,251,494.0,361.0,0.0
4,252,494.0,361.0,0.0
4,253,159.0,413.0,0.0
4,254,454.0,465.0,0.0
0,255,496.0,303.0,0.5859
4,256,544.0,304.0,0.0
1,257,176.0,261.0,0.5782
4,258,494.0,361.0,0.0
4,259,494.0,361.0,0.0
4,260,469.0,350.0,0.0
26,261,406.0,472.0,-0.7339
7,262,103.0,362.0,0.0
5,263,546.0,415.0,-0.3612
4,264,496.0,303.0,0.0
7,265,78.0,298.0,0.0
4,266,586.0,386.0,0.0
2,267,688.0,284.0,0.3164
