class,id,x,y,value
67,1,131,400,0
67,2,131,400,0
11,3,564,400,0.4753
17,4,498,297,0.5093
260,5,115,359,-0.5562
5,6,654,318,0
48,7,387,433,0
86,8,537,295,0.9201
147,9,455,372,0.3134
147,10,455,372,0.3134
20,11,537,417,0
5,12,648,320,0.0762
246,13,510,423,0
41,14,103,213,-0.0258
167,15,627,377,-0.128
5,16,654,318,-0.5574
19,17,514,329,-0.0772
186,18,391,430,-0.6124
48,19,387,433,0
114,20,558,493,-0.1027
54,21,668,306,0
54,22,668,306,0
56,23,301,334,0
41,24,106,207,0
16,25,523,463,-0.3722
5,26,654,318,0
48,27,387,433,0
39,28,580,332,0
39,29,580,332,0
48,30,387,433,0
5,31,652,321,0
72,32,150,412,-0.6705
274,33,544,378,-0.5719
83,34,640,329,0
43,35,589,321,0.3875
43,36,589,321,0.3875
86,37,547,295,0.34
89,38,570,285,0.2732
96,39,152,416,-0.6808
217,40,695,304,0
125,41,618,341,-0.1531
48,42,392,430,0.3612
274,43,544,378,-0.7902
41,44,106,207,0.4939
48,45,387,433,0
199,46,548,440,-0.3182
4,47,688,284,0
67,48,131,400,0.6808
67,49,131,400,0.6808
237,50,638,311,-0.4588
237,51,638,311,-0.4588
486,52,494,285,-0.6435
27,53,219,423,0
2,54,148,414,0.4648
48,55,393,433,0.6249
142,56,223,421,-0.4404
216,57,505,387,-0.5994
152,58,283,521,0
152,59,283,521,0
61,60,544,378,0.3612
181,61,505,387,-0.3182
59,62,408,466,0.2023
5,63,654,318,0
5,64,652,321,0.5697
88,65,583,505,0.4939
83,66,639,330,0
55,67,614,343,0.3612
61,68,544,378,0.4389
120,69,106,207,-0.3818
5,70,652,321,0.4329
1,71,569,488,0.6414
20,72,537,417,0
60,73,107,363,0.4071
31,74,589,321,0.5106
31,75,589,321,0.5106
218,76,176,261,0
52,77,496,303,-0.2168
88,78,584,511,0
1,79,570,485,-0.8625
41,80,106,207,0.3818
35,81,204,371,0.7184
69,82,548,440,0.1655
216,83,505,387,-0.4215
33,84,436,253,0.1007
10,85,634,351,0.3384
67,86,131,400,0.3553
67,87,131,400,0.3553
5,88,654,318,0.3612
181,89,505,387,0
71,90,529,436,0.2732
48,91,387,433,0
65,92,417,345,0.3182
83,93,640,330,0
41,94,106,207,0.3818
34,95,99,242,-0.296
48,96,387,433,0
5,97,654,318,-0.5994
20,98,537,417,0.4588
11,99,555,397,0.631
27,100,219,423,0
83,101,640,330,0.0305
2,102,161,425,0.8271
124,103,586,386,0
41,104,106,207,0.3818
754,105,406,474,-0.886
243,106,119,348,0
130,107,637,346,0
85,108,580,332,-0.2732
85,109,580,332,-0.2732
5,110,654,318,0.4019
55,111,617,342,0
207,112,590,276,-0.4939
478,113,640,330,-0.8748
467,114,132,377,-0.6105
16,115,523,463,-0.128
67,116,131,400,0
67,117,131,400,0
2,118,153,419,0
51,119,523,463,-0.9153
60,120,105,365,0
58,121,590,276,0
242,122,605,400,-0.1441
32,123,490,466,0.6908
1,124,563,494,0.0258
55,125,617,342,0
16,126,523,463,0
55,127,617,342,0
171,128,629,283,0.3071
489,129,642,246,0
38,130,574,400,0
275,131,466,350,-0.128
5,132,659,318,0
171,133,629,283,0
186,134,391,430,-0.4215
155,135,161,427,0
295,136,448,466,0
5,137,654,318,0.3818
8,138,103,362,0.6588
116,139,558,493,-0.7717
55,140,617,342,0
99,141,382,466,0
4,142,689,300,0.4019
5,143,652,321,0.368
15,144,494,361,0.7506
15,145,494,361,0.7506
85,146,580,332,-0.4466
85,147,580,332,-0.4466
16,148,523,463,0.5719
175,149,589,321,-0.6486
175,150,589,321,-0.6486
9,151,184,384,0.6408
114,152,561,496,0
7,153,146,418,-0.3919
27,154,218,422,0
39,155,580,332,0.347
39,156,580,332,0.347
34,157,99,244,0.296
13,158,581,519,0
33,159,435,255,-0.4184
7,160,148,413,0
5,161,654,320,0.6249
222,162,459,463,-0.8516
288,163,283,521,-0.7489
288,164,283,521,-0.7489
33,165,435,255,0.4767
96,166,146,418,-0.4767
5,167,654,320,0
269,168,556,369,0.3612
174,169,520,356,0.4767
54,170,668,306,0
54,171,668,306,0
216,172,506,386,-0.7735
199,173,548,440,0
120,174,107,206,-0.1695
4,175,686,295,0
56,176,301,334,0
5,177,658,317,-0.529
544,178,605,400,-0.5106
2,179,146,418,0.7003
41,180,106,209,0.128
55,181,620,344,0
216,182,506,386,-0.4902
254,183,106,209,-0.872
16,184,523,463,0.296
174,185,520,356,-0.3612
