class,id,x,y,value
118,263,546,415,-0.3612
18,264,496,303,0
231,265,78,298,0
170,266,586,386,0
5,267,688,284,0.3164
151,268,99,186,-0.25
44,269,496,303,-0.1531
4,270,583,511,0
5,271,688,284,0.3164
418,272,447,224,0
18,273,496,303,0
14,274,654,320,0.4404
14,275,654,318,0
19,276,523,463,0.296
5,277,678,293,0.7513
19,278,523,463,0.396
1,279,547,289,0.5562
6,280,159,413,0
4,281,584,509,0.2732
14,282,654,318,-0.296
153,283,283,446,0.7177
80,284,654,318,-0.636
114,285,420,427,-0.9281
14,286,653,317,0
23,287,582,523,-0.3412
29,288,600,390,0
29,289,600,390,0
23,290,582,523,0
38,291,590,276,0.5255
306,292,176,261,0.0258
29,293,600,390,0
19,294,523,463,0.296
5,295,692,289,0.1779
30,296,609,351,0.6542
18,297,496,306,0
18,298,496,306,0
11,299,547,420,0
95,300,574,400,0
306,301,176,261,0.0258
237,302,556,369,-0.5499
207,303,466,350,0
221,304,440,290,0.4753
99,305,533,342,0
67,306,134,375,0.1531
41,307,580,332,0.3818
41,308,580,332,0.3818
96,309,634,351,0
264,310,436,253,-0.7073
6,311,146,418,0
149,312,190,450,-0.7695
19,313,523,463,0.296
6,314,154,416,0.5859
231,315,78,298,0.3382
6,316,149,413,0.3818
119,317,190,450,0.7695
52,318,304,335,0
30,319,616,344,-0.25
136,320,390,275,0.25
41,321,570,313,0.4168
14,322,653,317,0.2057
26,323,581,504,-0.7845
110,324,303,347,-0.3595
118,325,534,419,-0.8689
231,326,78,298,0
89,327,599,285,-0.2023
14,328,652,321,0.6239
5,329,678,293,0.6696
53,330,659,318,-0.4854
438,331,534,227,-0.089
80,332,653,317,-0.8126
33,333,556,369,0.5719
20,334,455,372,0.6249
20,335,455,372,0.6249
10,336,688,284,-0.521
10,337,691,276,-0.8553
54,338,568,306,0
53,339,663,294,0.3182
150,340,283,521,-0.5859
150,341,283,521,-0.5859
237,342,556,369,-0.4215
38,343,590,276,-0.3182
38,344,593,270,0.0258
123,345,434,251,-0.0258
51,346,393,433,0.4404
6,347,146,418,0.0772
156,348,132,338,0
5,349,692,289,0
51,350,393,433,0
4,351,571,486,0
