x,y,sentiment
496,303,-0.3182
420,427,0.5093
152,412,0.0
222,318,0.6696
531,352,0.0
531,352,0.0
80,434,0.0
80,434,0.0
548,440,0.4019
563,494,0.0
655,317,-0.5216
652,316,-0.4508
614,343,0.0
624,340,-0.4015
589,321,-0.128
589,321,-0.128
176,261,0.6808
669,302,0.2732
80,434,0.4939
80,434,0.4939
80,434,-0.296
80,434,-0.296
556,496,0.0
655,316,-0.6486
537,415,-0.8481
652,321,-0.4767
580,332,0.0
580,332,0.0
387,433,0.0
103,362,0.0
426,482,0.2247
494,361,0.2443
494,361,0.2443
535,419,-0.4215
459,463,-0.2144
574,400,0.7279
534,419,-0.2023
646,337,0.0
586,386,0.0382
556,495,0.6369
95,258,0.0
646,337,0.0
616,344,0.6369
646,337,0.0
646,337,0.0
671,287,0.0
580,332,0.8494
580,332,0.8494
646,337,0.0
617,347,-0.5267
646,337,0.0
533,342,0.4404
583,523,-0.5106
574,400,-0.6486
620,343,0.1501
537,415,-0.6381
95,258,-0.8932
654,318,0.0
556,369,-0.7783
406,474,0.765
624,340,-0.5423
584,516,0.0
494,361,0.4753
494,361,0.4753
570,313,-0.5256
563,480,0.0
556,495,0.0
654,320,0.0
644,322,-0.1695
654,318,-0.7579
149,413,-0.3182
523,463,0.4404
474,427,0.0
387,433,0.0
580,332,0.0
580,332,0.0
655,320,0.0
176,261,0.0
556,495,0.0
184,384,-0.3612
537,417,0.5859
426,482,0.0772
523,463,0.3412
107,367,0.4019
655,320,-0.4215
655,317,0.5538
675,309,0.0
386,393,0.0
571,390,0.3612
475,333,0.0
688,284,0.0
474,262,0.5093
556,495,0.0
517,331,0.0
556,369,0.296
106,207,0.0
556,495,0.0
557,493,0.0
556,369,0.4019
106,207,0.0
80,434,0.6808
80,434,0.6808
146,418,0.0
556,495,0.0
655,320,-0.4588
556,369,0.7958
537,417,0.0
176,261,0.0
556,495,0.0
523,463,0.0
496,303,0.0
556,495,0.0
537,417,0.0
688,284,0.4019
406,474,0.0
184,386,-0.8625
406,474,0.0
103,243,0.0
105,205,0.0
99,244,-0.0772
283,521,-0.508
283,521,-0.508
556,369,0.5574
492,306,-0.8516
492,306,-0.8516
455,372,0.0
455,372,0.0
556,496,0.0
110,210,0.0
610,317,0.0
382,466,0.0
580,332,-0.7369
580,332,-0.7369
80,434,-0.296
80,434,-0.296
382,466,-0.1027
556,495,0.0
283,521,0.5255
283,521,0.5255
614,365,0.0
647,338,0.2144
590,276,0.0
430,298,0.4215
496,303,-0.6369
110,210,-0.5267
151,417,0.0
153,419,-0.3182
688,284,0.0
598,273,0.0
395,318,-0.3182
110,210,0.0
556,488,-0.5759
162,434,0.6249
569,488,-0.4767
523,463,0.0
382,466,0.0
580,332,-0.1761
580,332,-0.1761
382,466,0.0
688,284,-0.0928
619,346,0.0
382,466,-0.0572
614,365,0.0
548,440,0.0
107,363,-0.4939
500,426,-0.7034
576,310,0.0
688,297,0.7378
645,316,0.0
92,194,0.0
581,504,-0.5562
382,466,0.0
382,466,0.0
496,303,0.0
382,466,0.0
471,463,0.2103
110,210,-0.6249
654,318,-0.2263
590,276,-0.2732
654,318,0.5499
115,359,0.0
477,379,0.0
688,297,0.5093
